company_name,year,quarter,positive,negative,uncertainty,litigious,modal,total_words,participants
IR,2019,2,227,92,97,19,70,6272,10
VTR,2019,2,180,67,67,5,56,5853,10
K,2019,1,249,166,58,1,63,6472,11
BWA,2019,1,74,83,59,0,22,4037,9
MAC,2019,1,82,119,86,7,54,5058,14
BA,2019,1,172,92,42,26,47,6816,12
DISH,2019,2,163,99,121,23,101,6868,13
MU,2019,2,143,100,66,0,27,5361,8
WHR,2019,2,155,79,57,2,30,4321,8
HPQ,2019,1,128,69,97,6,48,5037,-1
DVA,2019,2,94,107,118,10,48,4883,8
ITW,2019,1,140,153,64,0,49,5424,13
NTAP,2019,1,184,106,64,3,38,5883,19
PFG,2019,2,218,93,92,5,57,6106,8
FFIV,2019,1,112,59,84,2,51,4960,10
LRCX,2019,2,110,103,80,17,42,5357,13
PRU,2019,2,141,87,88,8,51,5856,10
MET,2019,2,189,98,79,10,63,5313,8
AAPL,2019,2,152,65,43,7,80,4846,7
USB,2019,1,128,80,60,3,40,4902,11
V,2019,1,102,120,79,11,43,5731,13
EFX,2019,1,236,166,100,49,44,8177,13
HBAN,2019,1,108,77,71,2,44,5398,10
ARE,2019,2,147,68,85,12,47,5603,8
PCAR,2019,2,158,63,69,2,56,5202,17
RSG,2019,2,178,83,92,12,75,5719,8
AAP,2019,1,213,83,63,2,51,6153,11
AMT,2019,2,138,50,112,26,48,6004,8
NDAQ,2019,2,133,71,65,23,59,6114,12
ROK,2019,1,127,71,62,0,37,5230,14
PPL,2019,1,52,39,34,19,27,2995,5
MGM,2019,1,172,69,68,7,61,5520,9
MOS,2019,2,125,145,81,13,64,5148,14
SLG,2019,1,79,46,78,8,61,4212,7
KEYS,2019,2,177,55,45,8,29,4353,6
PKG,2019,1,84,128,69,1,63,4880,10
CE,2019,1,110,107,82,4,58,5105,17
BXP,2019,1,150,92,94,16,62,7142,7
APD,2019,2,154,63,69,13,70,5212,17
TGT,2019,2,244,77,60,4,57,7034,7
C,2019,1,208,114,79,11,47,6542,12
KSS,2019,2,270,67,58,8,32,5892,7
SEE,2019,1,162,122,61,0,41,5287,12
INTU,2019,2,192,120,68,7,55,6198,18
NBL,2019,1,201,64,68,15,68,5730,12
ES,2019,2,78,68,74,45,70,4668,8
HST,2019,1,186,108,56,3,38,5396,12
HSY,2019,2,163,81,75,1,42,5327,13
TMUS,2019,2,193,154,89,39,107,7598,12
CHD,2019,1,99,79,63,2,44,4758,11
EMN,2019,1,218,145,86,8,52,6333,11
WDC,2019,1,75,105,59,2,30,4641,13
FTV,2019,2,180,120,110,6,60,6438,11
PH,2019,1,222,97,52,5,68,6449,9
AMCR,2019,2,195,106,64,14,76,5915,-1
JNJ,2019,2,288,173,76,23,40,7203,9
MCO,2019,2,141,126,129,3,54,5900,12
STI,2019,1,273,83,71,6,62,5681,7
EVRG,2019,1,73,56,41,33,23,3290,4
LOW,2019,1,233,106,58,2,25,5875,4
GWW,2019,1,129,97,59,6,49,4716,14
DISH,2019,1,162,128,130,16,103,6806,11
BA,2019,2,189,102,100,34,57,7558,14
MAC,2019,2,98,101,79,5,68,5453,14
MU,2019,1,158,89,61,3,38,5286,6
WHR,2019,1,144,86,71,3,66,4704,7
DVA,2019,1,107,96,100,11,62,4819,6
HPQ,2019,2,143,69,99,15,54,5028,9
NTAP,2019,2,143,75,46,4,46,5049,67
PFG,2019,1,210,111,85,6,79,6101,9
ITW,2019,2,119,161,88,3,60,5792,10
PRU,2019,1,137,78,58,4,29,4922,9
MET,2019,1,188,77,66,13,52,4899,8
AAPL,2019,1,132,61,63,4,67,5014,5
LRCX,2019,1,122,91,72,6,91,5314,13
FFIV,2019,2,115,90,61,6,30,4849,8
USB,2019,2,103,83,58,6,41,5033,10
EFX,2019,2,264,162,85,57,40,7866,12
HBAN,2019,2,162,85,95,1,75,5960,10
V,2019,2,156,100,66,10,37,5727,9
PCAR,2019,1,148,50,54,2,53,4429,13
ARE,2019,1,139,78,79,8,58,5418,6
RSG,2019,1,166,75,88,16,65,5350,8
AAP,2019,2,239,116,86,7,55,6939,12
PPL,2019,2,76,51,39,9,29,2809,2
MGM,2019,2,190,54,72,9,73,5351,9
NDAQ,2019,1,145,68,36,22,50,4434,6
ROK,2019,2,122,73,63,4,38,5086,13
AMT,2019,1,133,48,110,24,66,5832,10
SLG,2019,2,53,42,64,4,40,3277,9
MOS,2019,1,101,128,99,17,67,5321,14
CE,2019,2,77,91,89,1,71,4687,16
KEYS,2019,1,138,60,33,1,27,4347,6
PKG,2019,2,82,61,60,2,45,3811,10
APD,2019,1,218,119,68,24,56,6217,17
BXP,2019,2,139,84,89,8,64,6590,8
KSS,2019,1,216,108,74,3,53,5899,7
TGT,2019,1,235,73,52,1,37,6409,8
C,2019,2,242,175,141,12,83,8940,13
NBL,2019,2,216,81,67,5,64,6564,13
ES,2019,1,57,57,57,32,44,3187,7
SEE,2019,2,191,115,75,5,34,5576,7
INTU,2019,1,165,73,90,4,54,5333,15
HST,2019,2,147,123,75,8,38,5726,12
TMUS,2019,1,164,86,71,13,59,6284,11
CHD,2019,2,118,69,95,0,68,5538,11
HSY,2019,1,189,72,57,2,41,4616,9
EMN,2019,2,206,177,108,2,61,6420,13
WDC,2019,2,96,94,61,4,40,4704,11
ETFC,2019,2,96,95,78,8,79,5623,13
DGX,2019,1,178,95,81,19,62,5789,17
PH,2019,2,197,117,77,0,99,6162,8
FTV,2019,1,198,95,110,8,95,6371,-1
MCO,2019,1,132,94,79,10,55,5121,9
JNJ,2019,1,226,146,82,11,47,6892,10
STI,2019,2,226,85,60,11,46,5057,5
EVRG,2019,2,103,71,91,31,70,4842,8
LOW,2019,2,260,112,71,2,48,6610,8
GWW,2019,2,177,116,71,5,75,5732,10
NUE,2019,2,114,75,63,9,34,3996,6
BR,2019,1,197,80,38,10,87,6313,7
NEM,2019,2,165,77,54,8,71,5803,7
RJF,2019,1,105,144,124,15,64,6219,7
GILD,2019,1,228,119,97,14,59,6903,10
ADP,2019,2,261,122,119,5,96,6316,11
FE,2019,2,54,61,39,28,41,3434,5
CLX,2019,1,246,114,100,6,99,7592,11
CCL,2019,2,133,138,80,4,94,5878,11
TXN,2019,1,68,59,38,0,52,3415,7
DRE,2019,1,109,82,87,5,74,5006,11
AOS,2019,2,83,103,104,3,41,4165,6
KSU,2019,2,251,146,100,10,46,7669,10
GL,2019,1,32,23,42,8,8,2479,4
AMGN,2019,2,198,139,82,22,55,6180,15
CRM,2019,1,176,52,83,18,57,6194,9
AMG,2019,2,154,100,75,3,58,4859,9
INFO,2019,2,184,88,52,5,49,6132,16
GLW,2019,2,168,71,50,10,33,5432,10
BBT,2019,2,195,89,93,10,80,6017,6
MXIM,2019,2,70,119,45,1,56,4176,12
