company_name,year,quarter,positive,negative,uncertainty,litigious,modal,total_words,participants
TJX,2019,2,175,86,78,5,87,5239,9
GOOG,2019,1,158,60,49,7,61,5319,11
NVDA,2019,2,131,64,75,6,46,5117,11
USB,2018,3,175,100,90,12,45,6464,14
ABT,2019,1,153,92,55,10,72,5031,6
KO,2019,2,201,90,57,5,72,5315,13
FB,2019,2,165,84,85,41,65,5889,13
MA,2019,2,124,68,68,27,51,5601,13
ADBE,2018,4,204,57,84,4,79,6076,15
CELG,2018,3,173,108,67,21,49,6210,13
INTU,2018,3,188,92,88,7,45,6209,15
GS,2019,1,166,110,92,13,64,6710,12
XOM,2019,2,188,115,113,5,77,7824,10
FIS,2018,3,162,50,50,3,26,4666,6
AMGN,2018,4,222,134,85,27,63,7150,15
CI,2019,1,237,106,92,5,46,6573,15
WFC,2019,2,174,145,129,14,72,7117,11
ABBV,2019,2,158,116,118,20,63,5414,8
JNJ,2018,3,283,141,145,12,72,7064,12
CHTR,2019,2,120,81,46,5,52,5434,12
UPS,2019,2,253,65,56,3,44,5754,14
ADP,2018,4,222,108,116,10,94,7602,10
PYPL,2019,2,152,90,82,2,34,4760,8
LLY,2018,4,223,140,91,13,49,6543,10
BAC,2019,1,193,129,76,2,56,7427,11
TJX,2019,1,181,78,93,6,72,5257,8
GOOG,2019,2,162,74,45,8,36,5331,11
NKE,2018,4,218,67,50,12,44,5738,7
NVDA,2019,1,142,92,66,2,44,5834,14
KO,2019,1,192,79,63,2,48,5156,13
AAPL,2018,3,141,59,60,2,55,5116,5
ABT,2019,2,170,86,67,9,75,5091,6
DHR,2018,4,170,65,99,6,86,5112,7
FB,2019,1,157,91,89,27,69,6099,13
AMT,2018,3,155,50,108,16,50,6178,8
MA,2019,1,122,74,72,10,37,5791,12
COP,2018,4,131,107,88,11,50,5391,11
ADBE,2018,3,209,53,62,2,67,5493,14
CELG,2018,4,184,117,81,34,47,6210,14
CAT,2019,1,130,103,85,4,42,5628,18
USB,2018,4,106,84,47,16,48,4462,9
V,2018,4,161,94,94,34,71,6786,9
AXP,2019,2,148,63,82,5,57,5541,10
BA,2018,4,244,71,70,11,70,7621,15
D,2019,1,84,58,57,41,25,3728,11
NFLX,2019,2,149,32,54,0,61,4305,167
GILD,2018,3,157,101,72,5,29,5498,13
LOW,2018,4,238,95,61,5,44,5936,8
CB,2019,1,85,126,67,9,30,3937,9
CME,2019,2,152,102,104,45,40,5425,9
TXN,2018,3,73,65,39,0,60,3800,8
SBUX,2019,2,254,84,63,1,58,5719,12
ISRG,2019,1,114,66,108,5,36,6080,10
GOOGL,2019,2,162,74,45,8,36,5331,11
ACN,2019,2,155,61,69,3,74,5349,8
MMM,2019,1,135,203,75,39,59,6380,12
PEP,2019,2,214,63,57,3,51,5312,16
MCD,2018,3,234,70,52,4,74,5523,9
JPM,2019,2,146,83,62,4,71,5299,11
C,2018,4,260,202,180,5,96,9433,15
CAT,2019,2,150,122,90,4,45,5843,11
COP,2018,3,113,92,92,27,62,6503,13
AMT,2018,4,126,52,100,27,46,5448,4
AAPL,2018,4,149,45,52,2,50,5150,5
NKE,2018,3,224,62,45,16,35,5486,5
AXP,2019,1,154,57,75,9,45,5814,10
LLY,2018,3,209,127,72,14,49,6788,12
NFLX,2019,1,143,19,60,3,49,3910,157
D,2019,2,76,83,71,41,54,4156,7
BSX,2018,3,185,89,89,27,48,6729,8
ADP,2018,3,242,105,97,3,62,6045,10
CB,2019,2,87,104,65,5,29,3584,9
CME,2019,1,138,97,76,31,48,5217,11
ISRG,2019,2,112,59,118,11,38,5891,9
SBUX,2019,1,235,77,49,2,60,5922,10
JNJ,2018,4,388,145,100,11,89,8893,8
ACN,2019,1,192,78,93,8,62,5843,11
MMM,2019,2,164,149,76,18,57,6016,12
PEP,2019,1,240,75,45,2,26,4063,15
INTU,2018,4,183,100,99,7,77,6956,12
JPM,2019,1,185,135,97,9,91,6427,15
